,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
60,2021-03-03,United Kingdom,2021-03-04 05:24:24,56.4907,-4.2026,203555,7371,0.0,196184.0,"Scotland, United Kingdom",3725.8616587044457,3.6211343371570335
61,2021-03-03,United Kingdom,2021-03-04 05:24:24,21.69400000000001,-71.7979,2132,14,1940.0,178.0,"Turks and Caicos Islands, United Kingdom",5506.4827728705,0.6566604127579737
62,2021-03-03,United Kingdom,2021-03-04 05:24:24,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
63,2021-03-03,United Kingdom,2021-03-04 05:24:24,52.1307,-3.7837,204196,5356,0.0,198840.0,"Wales, United Kingdom",6505.958070477282,2.6229700875629303
64,2021-03-04,United Kingdom,2021-03-05 05:26:29,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
65,2021-03-04,United Kingdom,2021-03-05 05:26:29,32.3078,-64.7505,718,12,685.0,21.0,"Bermuda, United Kingdom",1152.9876511489729,1.6713091922005572
66,2021-03-04,United Kingdom,2021-03-05 05:26:29,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
67,2021-03-04,United Kingdom,2021-03-05 05:26:29,19.3133,-81.2546,448,2,425.0,21.0,"Cayman Islands, United Kingdom",681.6798539257454,0.44642857142857145
68,2021-03-04,United Kingdom,2021-03-05 05:26:29,49.3723,-2.3644,4041,86,3948.0,7.0,"Channel Islands, United Kingdom",2370.101877430366,2.1281860925513487
69,2021-03-04,United Kingdom,2021-03-05 05:26:29,52.3555,-1.1743,3679671,109195,0.0,3570476.0,"England, United Kingdom",6573.517432097354,2.9675207375876815
70,2021-03-04,United Kingdom,2021-03-05 05:26:29,-51.7963,-59.5236,54,0,51.0,3.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
71,2021-03-04,United Kingdom,2021-03-05 05:26:29,36.1408,-5.3536,4243,93,4128.0,22.0,"Gibraltar, United Kingdom",12593.86779852186,2.1918453924110297
72,2021-03-04,United Kingdom,2021-03-05 05:26:29,54.2361,-4.5481,546,25,416.0,105.0,"Isle of Man, United Kingdom",642.1112051933392,4.5787545787545785
73,2021-03-04,United Kingdom,2021-03-05 05:26:29,16.742498,-62.187366000000004,20,1,13.0,6.0,"Montserrat, United Kingdom",400.0800160032006,5.0
74,2021-03-04,United Kingdom,2021-03-05 05:26:29,54.7877,-6.4923,113169,2066,0.0,111103.0,"Northern Ireland, United Kingdom",6014.508928571428,1.825588279475828
75,2021-03-04,United Kingdom,2021-03-05 05:26:29,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
76,2021-03-04,United Kingdom,2021-03-05 05:26:29,56.4907,-4.2026,204055,7398,0.0,196657.0,"Scotland, United Kingdom",3735.013636446836,3.6254931268530544
77,2021-03-04,United Kingdom,2021-03-05 05:26:29,21.69400000000001,-71.7979,2161,14,1976.0,171.0,"Turks and Caicos Islands, United Kingdom",5581.383335916112,0.6478482184173994
78,2021-03-04,United Kingdom,2021-03-05 05:26:29,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
