,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
85,3684724,109406,0.0,3575318.0,6582.544321616659,2.969177610046234
86,54,0,51.0,3.0,1550.387596899225,0.0
87,4244,93,4131.0,20.0,12596.835950253777,2.191328934967012
88,605,25,417.0,163.0,711.4968482453662,4.132231404958676
89,20,1,13.0,6.0,400.0800160032006,5.0
90,113335,2068,0.0,111267.0,6023.331207482993,1.8246790488375169
91,4,0,4.0,0.0,70.65889418830595,0.0
92,204553,7409,0.0,197144.0,3744.129006278257,3.62204416459304
93,2172,14,2007.0,151.0,5609.793894312725,0.6445672191528545
94,0,0,0.0,0.0,,
95,204692,5378,0.0,199314.0,6521.761294844835,2.6273620854747617
96,18,0,18.0,0.0,119.98400213304892,0.0
97,722,12,688.0,22.0,1159.4109806818365,1.6620498614958448
98,153,1,131.0,21.0,506.002579620994,0.6535947712418301
99,451,2,426.0,23.0,686.2446743761412,0.4434589800443459
100,4041,86,3948.0,7.0,2370.101877430366,2.1281860925513487
101,3689842,109541,0.0,3580301.0,6591.687329841436,2.9687179017421337
102,54,0,51.0,3.0,1550.387596899225,0.0
103,4247,93,4132.0,22.0,12605.74040544953,2.18978102189781
104,676,25,417.0,234.0,794.9948254774672,3.6982248520710064
105,20,1,14.0,5.0,400.0800160032006,5.0
106,113507,2072,0.0,111435.0,6032.472363945577,1.8254380787088016
107,4,0,4.0,0.0,70.65889418830595,0.0
108,205108,7421,0.0,197687.0,3754.2877015723097,3.6180938822474022
109,2177,15,2020.0,142.0,5622.707784493001,0.6890215893431327
110,0,0,0.0,0.0,,
111,204886,5385,0.0,199501.0,6527.9423946982715,2.628290854426364
112,18,0,18.0,0.0,119.98400213304892,0.0
113,722,12,688.0,22.0,1159.4109806818365,1.6620498614958448
114,153,1,131.0,21.0,506.002579620994,0.6535947712418301
115,451,2,426.0,23.0,686.2446743761412,0.4434589800443459
116,4041,86,3948.0,7.0,2370.101877430366,2.1281860925513487
117,3694339,109602,0.0,3584737.0,6599.72095781854,2.9667553519046304
118,54,0,51.0,3.0,1550.387596899225,0.0
119,4249,93,4134.0,22.0,12611.67670891336,2.1887502941868675
120,757,25,417.0,315.0,890.2530811929628,3.3025099075297226
121,20,1,14.0,5.0,400.0800160032006,5.0
122,113645,2075,0.0,111570.0,6039.806547619048,1.8258612345461744
123,4,0,4.0,0.0,70.65889418830595,0.0
124,205498,7421,0.0,198077.0,3761.426244211374,3.611227359876982
125,2177,15,2020.0,142.0,5622.707784493001,0.6890215893431327
126,0,0,0.0,0.0,,
127,205038,5403,0.0,199635.0,6532.785318294781,2.6351212945892954
